Armadura de Ferro;Uma armadura de ferro resistente que aumenta a defesa do monstro equipado.;0;500;equipamento
Escudo do Guardião;Um escudo poderoso que aumenta a defesa do monstro equipado.;0;800;equipamento
Elmo do Herói;Um elmo resistente que aumenta a defesa do monstro equipado.;0;700;equipamento
Amuleto da Sabedoria;Um amuleto mágico que aumenta a defesa do monstro equipado.;0;600;equipamento
Espelho de Reflexão;Um espelho místico que reflete ataques e aumenta a defesa do monstro equipado.;0;400;equipamento
Armadura Encantada;Uma armadura mágica que aumenta a defesa do monstro equipado.;0;600;equipamento
Escudo Divino;Um escudo abençoado pelos deuses que aumenta a defesa do monstro equipado.;0;1000;equipamento
Manto da Invisibilidade;Um manto que aumenta a defesa do monstro equipado e o torna invisível.;0;400;equipamento
Armadura da Determinação;Uma armadura resistente que aumenta a defesa do monstro equipado.;0;700;equipamento
Escudo do Destino;Um escudo que altera o destino do monstro equipado aumentando sua defesa.;0;800;equipamento
Amuleto da Proteção;Um amuleto sagrado que aumenta a defesa do monstro equipado.;0;800;equipamento
Escudo de Gelo;Um escudo feito de gelo sólido que aumenta a defesa do monstro equipado.;0;900;equipamento
Coroa da Realeza;Uma coroa que aumenta a defesa do monstro equipado e concede o poder do controle.;0;500;equipamento
Escudo de Reflexão;Um escudo místico que reflete ataques e aumenta a defesa do monstro equipado.;0;600;equipamento
Elmo da Resistência;Um elmo resistente que aumenta a defesa do monstro equipado.;0;800;equipamento
Escudo Sagrado;Um escudo abençoado que aumenta a defesa do monstro equipado.;0;1000;equipamento
Armadura do Destemido;Uma armadura resistente que aumenta a defesa do monstro equipado.;0;700;equipamento
Escudo Encantado;Um escudo mágico que aumenta a defesa do monstro equipado.;0;600;equipamento
Espelho de Reflexão Mágica;Um espelho mágico que reflete ataques mágicos e aumenta a defesa do monstro equipado.;0;500;equipamento
Escudo da Terra;Um escudo feito de rochas sólidas que aumenta a defesa do monstro equipado.;0;900;equipamento
Capa do Engano;Uma capa mágica que aumenta a defesa do monstro equipado e confunde o oponente.;0;400;equipamento
Escudo das Sombras;Um escudo que protege o monstro equipado das sombras aumentando sua defesa.;0;800;equipamento
Manto da Proteção;Um manto que aumenta a defesa do monstro equipado e impede a destruição por batalha.;0;600;equipamento
Elmo do Destino;Um elmo que altera o destino do monstro equipado aumentando sua defesa.;0;800;equipamento
Escudo da Luz;Um escudo brilhante que aumenta a defesa do monstro equipado.;0;1000;equipamento
Armadura das Estrelas;Uma armadura cósmica que aumenta a defesa do monstro equipado.;0;700;equipamento
Escudo da Redeção;Um escudo abençoado que aumenta a defesa do monstro equipado.;0;800;equipamento
Amuleto da Cura;Um amuleto sagrado que aumenta a defesa do monstro equipado e recupera pontos de vida.;0;600;equipamento
Escudo da Resistência;Um escudo resistente que aumenta a defesa do monstro equipado.;0;900;equipamento
Elmo da Determinação;Um elmo resistente que aumenta a defesa do monstro equipado.;0;800;equipamento
Escudo da Resistência Mágica;Um escudo místico que aumenta a defesa do monstro equipado e nega efeitos mágicos.;0;600;equipamento
Elmo da Determinação;Um elmo que aumenta a defesa do monstro equipado e nega efeitos de cartas.;0;800;equipamento
Escudo das Ilusões;Um escudo mágico que aumenta a defesa do monstro equipado e nega efeitos de cartas mágicas.;0;600;equipamento
Escudo da Coragem;Um escudo corajoso que aumenta a defesa do monstro equipado.;0;900;equipamento
Elmo da Resistência Mágica;Um elmo místico que aumenta a defesa do monstro equipado e nega efeitos mágicos.;0;800;equipamento
Escudo dos Ancestrais;Um escudo ancestral que aumenta a defesa do monstro equipado.;0;1000;equipamento
Espada Lendária;Uma espada lendária que aumenta o ataque do monstro equipado.;500;0;monstro
Capa da Agilidade;Uma capa que aumenta a defesa do monstro equipado e aumenta sua velocidade de movimento.;500;0;equipamento
Anel da Coragem;Um anel que aumenta o ataque do monstro equipado.;600;0;equipamento
Elmo do Poder;Um elmo místico que aumenta o ataque do monstro equipado.;600;0;equipamento
Adaga Envenenada;Uma adaga que envenena os inimigos e aumenta o ataque do monstro equipado.;600;0;equipamento
Elmo do Heroísmo;Um elmo que aumenta a defesa do monstro equipado e concede habilidades her�icas.;600;0;equipamento
Colar da Vitalidade;Um colar que aumenta o ataque do monstro equipado e recupera pontos de vida.;600;0;equipamento
Elmo do Conhecimento;Um elmo místico que aumenta o ataque do monstro equipado.;600;0;equipamento
Lâmina da Destruição;Uma lâmina afiada que aumenta o ataque do monstro equipado.;700;0;equipamento
Adaga Sombria;Uma adaga afiada que aumenta o ataque do monstro equipado.;700;0;equipamento
Lâmina da Vingançaa;Uma lâmina afiada que aumenta o ataque do monstro equipado.;700;0;equipamento
Luvas da Destreza;Um par de luvas que aumenta o ataque do monstro equipado.;700;0;equipamento
Lâmina da Justiça;Uma lâmina afiada imbuida de justiça que aumenta o ataque do monstro equipado.;700;0;equipamento
Adaga das Sombras;Uma adaga sombria que aumenta o ataque do monstro equipado.;700;0;equipamento
Manto da Evasão;Um manto que aumenta a defesa do monstro equipado e impede ataques diretos.;700;0;equipamento
lâmina Flamejante;Uma lâmina envolta em chamas que aumenta o ataque do monstro equipado.;700;0;equipamento
Adaga Enigmática;Uma adaga misteriosa que aumenta o ataque do monstro equipado.;700;0;equipamento
G�rgona Petrificante;Uma criatura lend�ria com o poder de transformar seus inimigos em pedra.;800;1800;monstro
Luvas de Força;Um par de luvas que aumenta o ataque do monstro equipado.;800;0;equipamento
Espelho de Distor��o;Um espelho que distorce a realidade aumentando o ataque do monstro equipado.;800;0;equipamento
Bracelete da Força;Um bracelete poderoso que aumenta o ataque do monstro equipado.;800;0;equipamento
Cajado da Ilumina��o;Um cajado m�stico que aumenta o ataque do monstro equipado.;800;0;equipamento
Bracelete da Determina��o;Um bracelete resistente que aumenta o ataque do monstro equipado.;800;0;equipamento
Bracelete da Destreza;Um bracelete mágico que aumenta o ataque do monstro equipado.;800;0;equipamento
Cajado do Conhecimento;Um cajado mágico que aumenta o ataque do monstro equipado.;800;0;equipamento
Bracelete da Resist�ncia;Um bracelete resistente que aumenta o ataque do monstro equipado.;800;0;equipamento
Bracelete da Determina��o;Um bracelete poderoso que aumenta o ataque do monstro equipado.;800;0;equipamento
Flecha do Destino;Uma flecha mágica que aumenta o ataque do monstro equipado.;900;0;equipamento
Cajado da Sabedoria;Um cajado mágico que aumenta o ataque do monstro equipado.;900;0;equipamento
Espada do Trovão;Uma espada que canaliza a energia do trovão para aumentar o ataque do monstro equipado.;900;0;equipamento
Cajado do Poder;Um cajado poderoso que aumenta o ataque do monstro equipado.;900;0;equipamento
Cajado da Harmonia;Um cajado harmonioso que aumenta o ataque do monstro equipado.;900;0;equipamento
Fada Encantada;Uma fada mágica com o poder de conceder desejos.;1000;800;monstro
Homem de Pedra;Um ser humano transformado em pedra possuindo uma resist�ncia inquebr�vel.;1000;2000;monstro
Espelho da Verdade;Um espelho que revela a verdade oculta aumentando o ataque do monstro equipado.;1000;0;equipamento
Espada do Destino;Uma espada lend�ria que aumenta o ataque do monstro equipado.;1000;0;equipamento
Espada Congelante;Uma espada que congela seus inimigos e aumenta o ataque do monstro equipado.;1000;0;equipamento
Espada Relâmpago;Uma espada carregada com energia el�trica que aumenta o ataque do monstro equipado.;1100;0;equipamento
Espada Sagrada;Uma espada aben�oada que aumenta o ataque do monstro equipado.;1100;0;equipamento
Espada das Trevas;Uma espada obscura que aumenta o ataque do monstro equipado.;1100;0;equipamento
S�bio Anci�o;Um s�bio com conhecimento antigo e poderes m�sticos.;1200;2000;monstro
Sacerdotisa das águas;Uma sacerdotisa que controla os poderes da água curando e purificando.;1200;1600;monstro
Maga dos Ventos;Uma feiticeira habilidosa em manipular os ventos em seu favor.;1200;1600;monstro
Sacerdotisa Sagrada;Uma sacerdotisa aben�oada com poderes divinos para curar e proteger.;1200;1800;monstro
Guardião da Floresta;Um guardião místico que protege a harmonia da natureza.;1200;1600;monstro
Espada das Chamas Eternas;Uma espada envolta em chamas que aumenta o ataque do monstro equipado.;1200;0;equipamento
Espada Celestial;Uma espada divina que aumenta o ataque do monstro equipado.;1200;0;equipamento
Sereia Encantadora;Uma sereia com uma voz encantadora que hipnotiza seus oponentes.;1400;1600;monstro
Serpente Venenosa;Uma serpente mortal com um veneno letal.;1400;1200;monstro
Banshee Lamentadora;Uma banshee assombrada que emite lamentos arrepiantes para enfraquecer seus oponentes.;1400;1600;monstro
Sirene Encantadora;Uma sirene com uma voz hipnotizante que controla as mar�s e afoga seus oponentes.;1400;1600;monstro
